"","protein"
"1","YOR207C"
"2","YDL140C"
"3","YOR151C"
"4","YKL203C"
"5","YGR253C"
"6","YDR045C"
"7","YDL064W"
"8","YML063W"
"9","YKL211C"
"10","YPL190C"
"11","YJL194W"
"12","YDL202W"
"13","YKL155C"
"14","YKL192C"
"15","YHR066W"
"16","YHR086W"
"17","YPL235W"
"18","YDL004W"
"19","YNL182C"
"20","YBL045C"
"21","YKL195W"
"22","YGR088W"
"23","YOR020C"
"24","YNL031C"
"25","YLR008C"
"26","YMR203W"
"27","YFR032C-A"
"28","YBR039W"
"29","YOR232W"
"30","YIL022W"
"31","YBR196C"
"32","YNR017W"
"33","YOR142W"
"34","YFR033C"
"35","YER005W"
"36","YNR037C"
"37","YHR129C"
"38","YGR244C"
"39","YDR231C"
"40","YMR080C"
"41","YNL178W"
"42","YPL240C"
"43","YNL071W"
"44","YPL132W"
"45","YOL033W"
"46","YDL067C"
"47","YKL049C"
"48","YLR069C"
"49","YFL037W"
"50","YDR312W"
"51","YJR123W"
"52","YGR082W"
"53","YIL091C"
"54","Q0130"
"55","YFL039C"
"56","YDR298C"
"57","YKL067W"
"58","YJR045C"
"59","YEL021W"
"60","YGL191W"
"61","YPL131W"
"62","YLR259C"
"63","YDR381W"
"64","YBR009C"
"65","YGL122C"
"66","YBL074C"
"67","YMR288W"
"68","YER095W"
"69","YBR256C"
"70","YMR229C"
"71","YOR204W"
"72","YNL251C"
"73","YCR012W"
"74","YPL160W"
"75","YGR185C"
"76","YBL076C"
"77","YGL048C"
"78","YAL043C"
"79","YDR212W"
"80","YIL142W"
"81","YJL111W"
"82","YDR041W"
"83","YGL123W"
"84","YDL201W"
"85","YFL022C"
"86","YHR190W"
"87","YGL103W"
"88","YDR062W"
"89","YNL137C"
"90","YPR086W"
"91","YDR188W"
"92","YJL014W"
"93","YDR050C"
"94","YPL063W"
"95","YDL003W"
"96","YOL031C"
"97","YPL266W"
"98","YGR264C"
"99","YOR116C"
"100","YDR337W"
"101","YDR237W"
"102","YOR194C"
"103","YPR088C"
"104","YHR038W"
"105","YPR035W"
"106","YKL194C"
"107","YDR037W"
"108","YDR023W"
"109","YLL026W"
"110","YMR260C"
"111","YDR064W"
"112","YHL015W"
"113","YKL060C"
"114","YGL105W"
"115","YNL306W"
"116","YDR341C"
"117","YGL026C"
"118","YJR064W"
"119","YMR301C"
"120","YOL127W"
"121","YPR033C"
"122","YOR373W"
"123","YOR063W"
"124","YDR101C"
"125","YLR340W"
"126","YNL163C"
"127","YKL173W"
"128","YLR359W"
"129","YPR110C"
"130","YKL009W"
"131","YLR060W"
"132","YDR167W"
"133","YBR088C"
"134","YNL088W"
"135","YLR075W"
"136","YKR079C"
"137","YBR136W"
"138","YAL033W"
"139","YBR109C"
"140","YGL055W"
"141","YLR229C"
"142","YBR200W"
"143","YNL131W"
"144","YBR217W"
"145","YKL078W"
"146","YMR116C"
"147","YLR178C"
"148","YBR252W"
"149","YJL054W"
"150","YBR091C"
"151","YDR328C"
"152","YLR167W"
"153","YDL042C"
"154","YAL038W"
"155","YML025C"
"156","YNL037C"
"157","YOR157C"
"158","YHR005C-A"
"159","YJR057W"
"160","YMR297W"
"161","YJL104W"
"162","YPR103W"
"163","YBL078C"
"164","YGL189C"
"165","YNL002C"
"166","YAL003W"
"167","YDR325W"
"168","YDR322W"
"169","YKL138C"
"170","YMR024W"
"171","YMR128W"
"172","YPL128C"
"173","YPL167C"
"174","YDL014W"
"175","YGL172W"
"176","YML124C"
"177","YAR007C"
"178","YJL034W"
"179","YDR086C"
"180","YBL003C"
"181","YDL102W"
"182","YDL220C"
"183","YPR082C"
"184","YPL153C"
"185","YPL094C"
"186","YER019C-A"
"187","YBR160W"
"188","YHR019C"
"189","YML085C"
"190","YDR434W"
"191","YBL088C"
"192","YDR224C"
"193","YER009W"
"194","YER111C"
"195","YLL013C"
"196","YBR202W"
"197","YPR048W"
"198","YDL007W"
"199","YDR283C"
"200","YPR183W"
"201","YDR510W"
"202","YEL009C"
"203","YLR274W"
"204","YDR139C"
"205","YOR335C"
"206","YBL097W"
"207","YCL059C"
"208","YLR182W"
"209","YBR143C"
"210","YDR172W"
"211","YOR098C"
"212","YMR146C"
"213","YNR011C"
"214","YIL147C"
"215","YLR086W"
"216","YIR010W"
"217","YBR154C"
"218","YNR003C"
"219","YKL144C"
"220","YOR210W"
"221","YBR237W"
"222","YMR093W"
"223","YDR449C"
"224","YKL074C"
"225","YNL039W"
"226","YPR178W"
"227","YFR052W"
"228","YLR116W"
"229","YMR309C"
"230","YNL113W"
"231","YDL150W"
"232","YDL097C"
"233","YOR224C"
"234","YHR143W-A"
"235","YMR047C"
"236","YBL026W"
"237","YDR364C"
"238","YNL062C"
"239","YDR416W"
"240","YNL151C"
"241","YOR168W"
"242","YLR243W"
"243","YAR008W"
"244","YOR106W"
"245","YML010W"
"246","YPR055W"
"247","YKL022C"
"248","YPR181C"
"249","YIL126W"
"250","YLR026C"
"251","YNL258C"
"252","YGL207W"
"253","YDL195W"
"254","YER125W"
"255","YFL005W"
"256","YGR135W"
"257","YJL085W"
"258","YKR068C"
"259","YPL045W"
"260","YDR170C"
"261","YDR189W"
"262","YDR238C"
"263","YIL068C"
"264","YFL038C"
"265","YKR086W"
"266","YCR093W"
"267","YGL180W"
"268","YDR323C"
"269","YGR278W"
"270","YMR218C"
"271","YDL192W"
"272","YLR418C"
"273","YHR166C"
"274","YER146W"
"275","YER126C"
"276","YBL058W"
"277","YMR290C"
"278","YOR310C"
"279","YGL011C"
"280","YLR009W"
"281","YBR142W"
"282","YOR361C"
"283","YDR021W"
"284","YBR055C"
"285","YOR272W"
"286","YDR190C"
"287","YJL008C"
"288","YLR275W"
"289","YER133W"
"290","YHR070W"
"291","YDL216C"
"292","YHR027C"
"293","YOR048C"
"294","YMR314W"
"295","YKL210W"
"296","YLR153C"
"297","YDR363W-A"
"298","YPR165W"
"299","YIL075C"
"300","YDR083W"
"301","YGR002C"
"302","YMR239C"
"303","YOL139C"
"304","YLR197W"
"305","YKL172W"
"306","YOR362C"
"307","YML092C"
"308","YDL084W"
"309","YDL208W"
"310","YER007C-A"
"311","YER012W"
"312","YGR103W"
"313","YER094C"
"314","YDR429C"
"315","YGR186W"
"316","YFR050C"
"317","YNL244C"
"318","YPL237W"
"319","YJL124C"
"320","YJL001W"
"321","YPR108W"
"322","YOR076C"
"323","YMR308C"
"324","YOL077C"
"325","YIL078W"
"326","YGL087C"
"327","YHR023W"
"328","YOR261C"
"329","YLR347C"
"330","YHR020W"
"331","YFR010W"
"332","YPR041W"
"333","YNL147W"
"334","YBR060C"
"335","YBR155W"
"336","YER025W"
"337","YML094W"
"338","YEL026W"
"339","YER165W"
"340","YER043C"
"341","YFR004W"
"342","YIL118W"
"343","YDR013W"
"344","YLR293C"
"345","YDL166C"
"346","YNL240C"
"347","YLR186W"
"348","YHR200W"
"349","YBL004W"
"350","YDR054C"
"351","YEL037C"
"352","YPR101W"
"353","YEL030W"
"354","YOL038W"
"355","YJR095W"
"356","YPL146C"
"357","YBL092W"
"358","YNL247W"
"359","YKL082C"
"360","YPL093W"
"361","YKR082W"
"362","YJR042W"
"363","YHR197W"
"364","YMR001C"
"365","YLR316C"
"366","YJL039C"
"367","YLR106C"
"368","YGR090W"
"369","YHR065C"
"370","YER110C"
"371","YMR033W"
"372","YKR024C"
"373","YGR074W"
"374","YDL160C"
"375","YFR002W"
"376","YKL068W"
"377","YJL033W"
"378","YDR192C"
"379","YKL028W"
"380","YDL043C"
"381","YLR276C"
"382","YGL092W"
"383","YJL081C"
"384","YBR034C"
"385","YDL029W"
"386","YMR032W"
"387","YLR113W"
"388","YGR119C"
"389","YPL213W"
"390","YER172C"
"391","YDL088C"
"392","YKL057C"
"393","YHR165C"
"394","YIL115C"
"395","YML007W"
"396","YMR131C"
"397","YMR049C"
"398","YNL126W"
"399","YNL189W"
"400","YER048W-A"
"401","YHR169W"
"402","YML069W"
"403","YGL099W"
"404","YOR294W"
"405","YLR424W"
"406","YKR081C"
"407","YLR147C"
"408","YGL128C"
"409","YNL246W"
"410","YNL124W"
"411","YBR082C"
"412","YPL151C"
"413","YGR116W"
"414","YER018C"
"415","YLR409C"
"416","YHR170W"
"417","YDR378C"
"418","YOR117W"
"419","YAL032C"
"420","YKL042W"
"421","YIL144W"
"422","YKL112W"
"423","YGL078C"
"424","YJL061W"
"425","YDR432W"
"426","YGL018C"
"427","YGL071W"
"428","YDL147W"
"429","YLR397C"
"430","YLL036C"
"431","YIL063C"
"432","YDR168W"
"433","YDR477W"
"434","YDL126C"
"435","YFL002C"
"436","YLR208W"
"437","YOR259C"
"438","YDR394W"
"439","YML031W"
"440","YMR240C"
"441","YFR028C"
"442","YER006W"
"443","YNL007C"
"444","YKL125W"
"445","YGR187C"
"446","YLL008W"
"447","YMR213W"
"448","YLR222C"
"449","YDR243C"
"450","YGL100W"
"451","YPL020C"
"452","YDL167C"
"453","YJL002C"
"454","YDR498C"
"455","YDR087C"
"456","YDR302W"
"457","YPL211W"
"458","YAL034W-A"
"459","YPL218W"
"460","YBR029C"
"461","YOR103C"
"462","YNR026C"
"463","YDL145C"
"464","YOR340C"
"465","YDR308C"
"466","YMR250W"
"467","YDR299W"
"468","YGR008C"
"469","YFL023W"
"470","YPR161C"
"471","YDR473C"
"472","YGR175C"
"473","YPR113W"
"474","YAL025C"
"475","YBL105C"
"476","YHR099W"
"477","YPR169W"
"478","YML127W"
"479","YER016W"
"480","YEL020W-A"
"481","YIR008C"
"482","YGR181W"
"483","YNL102W"
"484","YBR193C"
"485","YLR005W"
"486","YPL209C"
"487","YGR005C"
"488","YGL174W"
"489","YNL222W"
"490","YNL059C"
"491","YGL244W"
"492","YOR308C"
"493","YER022W"
"494","YOL135C"
"495","YNL216W"
"496","YJR013W"
"497","YGL061C"
"498","YNR052C"
"499","YPL001W"
"500","YPR105C"
"501","YDR016C"
"502","YML049C"
"503","YER127W"
"504","YPR133C"
"505","YGR009C"
"506","YKL006C-A"
"507","YNL006W"
"508","YBR128C"
"509","YJL050W"
"510","YMR125W"
"511","YBL023C"
"512","YJR022W"
"513","YPL243W"
"514","YML105C"
"515","YGR195W"
"516","YJR035W"
"517","YOL005C"
"518","YFR031C"
"519","YJR068W"
"520","YFL008W"
"521","YKL045W"
"522","YOL080C"
"523","YDR311W"
"524","YNL232W"
"525","YGR095C"
"526","YDL092W"
"527","YDR228C"
"528","YLR438C-A"
"529","YNL118C"
"530","YGR158C"
"531","YCR013C"
"532","YLR115W"
"533","YAR019C"
"534","YPR120C"
"535","YER021W"
"536","YDR280W"
"537","YNL175C"
"538","YOL133W"
"539","YNR053C"
"540","YGL003C"
"541","YNL061W"
"542","YEL032W"
"543","YDL148C"
"544","YNL317W"
"545","YPL204W"
"546","YPR034W"
"547","YJL076W"
"548","YPR094W"
"549","YGR091W"
"550","YOR119C"
"551","YAL041W"
"552","YOR145C"
"553","YLR272C"
"554","YLR421C"
"555","YMR277W"
"556","YLR371W"
"557","YDL028C"
"558","YKR063C"
"559","YBR198C"
"560","YPR137W"
"561","YLR129W"
"562","YPR180W"
"563","YKL021C"
"564","YDL207W"
"565","YPR175W"
"566","YLL004W"
"567","YPL126W"
"568","YGR013W"
"569","YLR002C"
"570","YGL171W"
"571","YKL014C"
"572","YLR336C"
"573","YCR057C"
"574","YGR145W"
"575","YLR196W"
"576","YIL143C"
"577","YGL201C"
"578","YDL060W"
"579","YJL069C"
"580","YNL075W"
"581","YEL019C"
"582","YPL012W"
"583","YNL308C"
"584","YKL012W"
"585","YOR217W"
"586","YCL054W"
"587","YNL172W"
"588","YNL110C"
"589","YDR398W"
"590","YPL085W"
"591","YLL011W"
"592","YJR041C"
"593","YDR301W"
"594","YNL132W"
"595","YJR002W"
"596","YNL022C"
"597","YPR025C"
"598","YPL043W"
"599","YIL061C"
"600","YDR060W"
"601","YJL010C"
"602","YNL261W"
"603","YEL055C"
"604","YML093W"
"605","YJL109C"
"606","YGR245C"
"607","YBR211C"
"608","YER082C"
"609","YPR019W"
"610","YBR247C"
"611","YNL221C"
"612","YOR206W"
"613","YDR427W"
"614","YBL035C"
"615","YJL125C"
"616","YPL217C"
"617","YER013W"
"618","YDR118W"
"619","YJL203W"
"620","YNR054C"
"621","YOR319W"
"622","YLR103C"
"623","YML065W"
"624","YPR162C"
"625","YHR062C"
"626","YFR005C"
"627","YOL142W"
"628","YDR404C"
"629","YMR149W"
"630","YLR314C"
"631","YHR107C"
"632","YIR009W"
"633","YIL106W"
"634","YHR072W-A"
"635","YCR072C"
"636","YIR012W"
"637","YDR412W"
"638","YOR056C"
"639","YCR035C"
"640","YPR143W"
"641","YPR144C"
"642","YOR004W"
"643","YHR040W"
"644","YHR196W"
"645","YDR339C"
"646","YLR221C"
"647","YDL153C"
"648","YDR324C"
"649","YKL099C"
"650","YDL209C"
"651","YGR280C"
"652","YGL029W"
"653","YGL111W"
"654","YOL010W"
"655","YOL144W"
"656","YBL014C"
"657","YHR088W"
"658","YHR085W"
"659","YGR128C"
"660","YJL167W"
"661","YER029C"
"662","YJR093C"
"663","YLR277C"
"664","YPR185W"
"665","YDR235W"
"666","YDR088C"
"667","YLR117C"
"668","YNL138W-A"
"669","YOR159C"
"670","YPR182W"
"671","YFL017W-A"
"672","YGR129W"
"673","YDL098C"
"674","YLR298C"
"675","YKR022C"
"676","YDL030W"
"677","YML046W"
"678","YKL095W"
"679","YNL245C"
"680","YMR059W"
"681","YLR145W"
"682","YBL018C"
"683","YBR167C"
"684","YGR030C"
"685","YNL282W"
"686","YDR320C-A"
"687","YGR179C"
"688","YJR112W"
"689","YGR113W"
"690","YBR233W-A"
"691","YOR174W"
"692","YDL108W"
"693","YLR071C"
"694","YJL091C"
"695","YPL122C"
"696","YOR253W"
"697","YKL058W"
"698","YJL025W"
"699","YDR240C"
"700","YBR253W"
"701","YDR460W"
"702","YMR112C"
"703","YHR058C"
